TransactionID,Items
1,"Bread,Milk,Eggs,Butter"
2,"Bread,Milk,Cheese"
3,"Milk,Eggs,Cheese,Yogurt"
4,"Bread,Butter,Jam"
5,"Milk,Yogurt,Cheese"
6,"Bread,Milk,Eggs,Cheese"
7,"Eggs,Butter,Jam"
8,"Bread,Milk,Butter"
9,"Milk,Cheese,Yogurt"
10,"Bread,Eggs,Butter,Jam"
11,"Milk,Eggs,Yogurt"
12,"Bread,Milk,Cheese,Butter"
13,"Eggs,Cheese,Yogurt"
14,"Bread,Butter"
15,"Milk,Eggs,Butter,Cheese"
16,"Bread,Milk,Jam"
17,"Eggs,Yogurt"
18,"Bread,Milk,Eggs,Butter,Cheese"
19,"Milk,Cheese"
20,"Bread,Eggs,Jam"
21,"Milk,Yogurt,Butter"
22,"Bread,Milk,Cheese,Yogurt"
23,"Eggs,Butter,Cheese"
24,"Bread,Milk"
25,"Milk,Eggs,Yogurt,Cheese"
26,"Bread,Butter,Cheese"
27,"Milk,Eggs"
28,"Bread,Milk,Butter,Jam"
29,"Eggs,Cheese,Yogurt,Butter"
30,"Bread,Milk,Eggs"
31,"Milk,Cheese,Butter"
32,"Bread,Eggs,Cheese"
33,"Milk,Yogurt"
34,"Bread,Butter,Eggs,Jam"
35,"Milk,Eggs,Cheese,Yogurt"
36,"Bread,Milk,Butter"
37,"Eggs,Cheese"
38,"Bread,Milk,Yogurt"
39,"Milk,Butter,Cheese"
40,"Bread,Eggs,Butter"
41,"Milk,Eggs,Yogurt,Jam"
42,"Bread,Milk,Cheese"
43,"Eggs,Butter"
44,"Bread,Jam"
45,"Milk,Cheese,Yogurt,Butter"
46,"Bread,Milk,Eggs,Jam"
47,"Eggs,Yogurt,Cheese"
48,"Bread,Butter,Milk"
49,"Milk,Cheese"
50,"Bread,Eggs,Butter,Cheese"